Suburb House  Medians Stats  Book Report 2015,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Change ,Change ,Growth PA
Locality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Prelim 2016,2014-2015,2005-2015,2005-2015
,,,,,,,,,,,,,,,
BLACKBURN,422500,453000,626500,605000,700000,850000,771000,750000,860500,936000,1190000,1143000,27,182,10.9
BLACKBURN NORTH,362000,385000,490000,499000,540000,650000,617000,609000,692000,790000,920000,880500,16,154,9.8
BLACKBURN SOUTH,380000,401000,495000,510000,545000,670000,639000,632000,700000,780000,920000,940000,18,142,9.2
BLACKWOOD,189000,172000,195000,220000,261500,260000,263000,245000,310000,266000,260000,210000,-2,37,3.2
BLAIRGOWRIE,350000,395000,440000,463000,520000,625000,600000,580000,609000,630000,620000,765000,-2,77,5.9
BLIND BIGHT,235000,235000,257000,270000,321000,337500,358000,319000,362500,343000,401000,375000,17,71,5.5
BONBEACH,365500,416500,442500,491000,505000,585000,552500,540000,577500,630000,700000,677500,11,92,6.7
BONNIE DOON,190000,160000,168000,147000,182500,210000,211500,260000,250000,275000,285000,187500,4,50,4.1
BOOLARRA,162500,149500,166500,150000,172000,178000,209000,190000,196500,260000,212500,157500,-18,31,2.7
BOORT,110000,127000,122500,102500,106000,157500,164000,107000,157500,162500,130000,145000,-20,18,1.7
BORONIA,270000,282500,323000,340500,380000,450000,437000,430000,459500,500000,587000,571000,17,117,8.1
BOTANIC RIDGE,-,367000,502500,305000,472500,520000,487500,500000,493500,519000,564000,546500,9,0,NA
BOX HILL,487000,573000,651000,730000,780000,874000,920000,825000,870000,1160000,1500000,1408000,29,208,11.9
BOX HILL NORTH,396000,417500,545000,567000,602500,726000,683000,648500,745000,858000,1056000,928000,23,167,10.3
BOX HILL SOUTH,400000,445000,576000,585000,601000,817000,765000,715000,785000,907500,1153000,1089000,27,188,11.2
BRAYBROOK,220000,226000,283000,341000,375000,447500,439000,396000,424500,478500,550000,564000,15,150,9.6
BREAKWATER,194000,179500,199000,210000,227000,251500,252500,242500,255000,251500,267500,226500,6,38,3.3
BRIAGOLONG,155000,141000,170000,172000,180000,205000,225000,215000,226000,200000,215000,185000,8,39,3.3
BRIAR HILL,341000,363500,382000,410000,450000,575000,545500,541500,575000,627000,681000,NA,9,100,7.2
BRIDGEWATER ON LODDON,130000,235000,133000,146500,160000,230000,160000,175000,172500,197500,245000,NA,24,88,6.5
BRIGHT,271000,250000,265000,240000,297500,311500,325000,340000,315000,349500,392500,320000,12,45,3.8
BRIGHTON,1100000,1242500,1600000,1550000,1685000,1800000,1735000,1787500,1786000,1905000,2272500,2225000,19,107,7.5
BRIGHTON EAST,712000,767500,960000,980000,1070000,1255000,1100000,1073000,1227500,1300500,1600000,1670000,23,125,8.4
BROADFORD,190000,199000,210000,210000,223000,250000,259500,268500,290000,267000,267500,275000,0,41,3.5
BROADMEADOWS,205000,207000,225000,270000,320000,390000,357000,320000,325000,345000,370500,377000,7,81,6.1
BROOKFIELD,269000,260000,264000,277500,307500,333500,341000,332000,330000,350500,340000,324000,-3,26,2.4
BROOKLYN,265000,269000,319500,400000,400000,480000,485000,470000,491000,540000,598500,660000,11,126,8.5
BROWN HILL,185000,215000,197000,200000,228000,257500,258500,300000,310000,286500,270000,342500,-6,46,3.9
BRUNSWICK,395000,425000,525000,540000,605000,692500,640000,658000,720000,806000,860000,825000,7,118,8.1
BRUNSWICK EAST,386500,420000,510000,565000,630000,693000,695000,710000,750000,819500,888000,871000,8,130,8.7
BRUNSWICK WEST,394500,418000,558000,547500,600000,717500,695000,650000,745000,790000,862500,1210000,9,119,8.1
BULLEEN,410000,475500,595000,640000,640000,726000,720000,707000,780000,860000,1054000,980000,23,157,9.9
BUNDALONG,254000,290000,350000,305000,430000,390000,500000,385000,337500,336500,370000,377500,10,46,3.8
BUNDOORA,295000,320000,360000,383500,413000,500000,489000,480000,530000,553500,600000,627000,8,103,7.4
BUNINYONG,243000,252500,229000,249000,270000,322500,307500,376500,349000,385000,359000,360000,-7,48,4
BUNYIP,211000,255000,275000,280000,282500,290000,342500,342500,332500,325000,420000,336500,29,99,7.1
BURNLEY,471500,467500,592500,551000,757500,800000,810000,800000,836000,1100000,999000,900500,-9,112,7.8
BURNSIDE,274000,280000,285000,310000,345000,395000,410000,385000,390000,401000,420000,475000,5,53,4.4
BURNSIDE HEIGHTS,308000,285000,305000,320000,350000,405000,405000,418500,427000,442500,457500,507500,3,49,4
BURWOOD,447500,480000,610000,651000,658000,778000,789000,765000,780000,921000,1188000,1030000,29,165,10.3
BURWOOD EAST,370000,390500,500000,510500,570000,678000,630000,617000,685000,780000,980000,910000,26,165,10.2
CAIRNLEA,330000,335000,327000,360000,390000,463000,478500,440000,480000,545000,565500,622000,4,71,5.5
CALIFORNIA GULLY,175000,178000,178000,196000,209000,209500,240000,255000,252500,262000,256500,251500,-2,47,3.9
CAMBERWELL,732000,850000,1036500,1010000,1151000,1323000,1316000,1300000,1383500,1650000,1916500,1485000,16,162,10.1
CAMPBELLFIELD,248000,245000,264000,286000,320000,380000,360000,330000,330000,338000,374000,371000,11,51,4.2
CAMPBELLS CREEK,205000,242500,210000,225000,247500,316000,340000,343500,379000,345000,384000,NA,11,87,6.5
CAMPERDOWN,162500,166000,188500,180000,177000,185000,180000,183500,220000,186000,218000,246000,17,34,3
CANADIAN,237000,195000,233500,254000,253000,291500,298000,290000,325000,297000,339500,334000,14,43,3.7
CANTERBURY,1006000,1200000,1575000,1605000,1675000,1816000,1730000,1790000,1950000,2100000,2481500,2300000,18,147,9.4
CAPE PATERSON,266500,277000,270000,305000,312000,332500,420000,348000,337000,332000,350000,350000,5,31,2.8
CAPE SCHANCK,352500,431000,379000,380000,520000,545000,477500,655000,620000,557500,655000,585000,17,86,6.4
CARDIGAN VILLAGE,175000,206000,185000,293500,223500,328500,280000,362000,312500,265000,415000,491000,57,137,9
CARISBROOK,157000,155000,145000,150000,151000,205500,134500,192500,218500,238500,200000,227500,-16,27,2.5
CARLTON,455000,493000,785000,740000,631500,840000,857000,707000,880000,957000,1201000,1237500,25,164,10.2
CARLTON NORTH,540000,597000,735000,715000,785000,930500,831000,940000,890500,1095000,1177500,967500,8,118,8.1
CARNEGIE,493000,575000,723000,717500,776000,870000,900000,836000,863000,995000,1263500,1200000,27,156,9.9
CAROLINE SPRINGS,285000,295000,310000,325000,364000,408500,420000,427500,435000,460000,480000,502500,4,68,5.4
CARRUM,305000,320500,380000,450000,435000,500000,497000,499000,516000,535000,605500,572000,13,99,7.1
CARRUM DOWNS,230000,240000,256500,275000,297000,330000,345000,334500,330000,346500,370000,405000,7,61,4.9
CASTERTON,90000,106000,93000,115000,101500,117500,106500,110000,97500,99000,100000,125000,1,11,1.1
CASTLEMAINE,217500,225000,219500,245000,255000,300000,322500,338000,372500,369500,380000,365000,3,75,5.7
CAULFIELD,640000,720000,910000,912500,926000,1180000,1125000,1067500,1172500,1322000,1650000,1613500,25,158,9.9
CAULFIELD EAST,490000,502500,710000,727500,818000,862500,760000,750000,845000,1168000,1165000,NA,0,138,9
CAULFIELD NORTH,780000,917500,1120000,1160000,1180000,1400000,1300000,1320000,1401000,1487500,1867500,1600000,26,139,9.1
CAULFIELD SOUTH,575000,642500,850000,821000,850000,1004000,903500,890500,1050000,1200000,1375000,1475000,15,139,9.1
CHADSTONE,357500,405000,494000,549000,570000,660000,626000,595000,711000,821500,939000,950000,14,163,10.1
CHARLTON,109500,91500,100000,129000,89000,125000,117000,123000,120000,131000,179500,NA,37,64,5.1
CHELSEA,332000,355000,415000,431500,470000,585000,525000,545000,577500,580000,730000,825000,26,120,8.2
CHELSEA HEIGHTS,307000,305500,356000,385000,405500,445000,454000,440000,465000,513000,600000,575500,17,95,6.9
CHELTENHAM,389500,440000,520000,585000,583500,694000,640000,635000,692500,776000,890000,935000,15,128,8.6
CHELTENHAM EAST,370000,400000,468000,501500,533000,630000,580000,545000,600000,670000,770000,890000,15,108,7.6
CHELTENHAM NORTH,352500,367500,490500,530000,550000,656500,581500,572500,584000,665000,750000,627500,13,113,7.8
CHEWTON,207500,175000,222500,175000,220000,258000,255000,230500,312500,296000,369000,710000,25,78,5.9
CHILTERN,178000,195000,177500,179000,227000,189000,202000,208000,171500,187500,220000,320000,17,24,2.1
CHIRNSIDE PARK,305000,320000,355000,370000,403500,449500,464000,435000,450000,480000,555500,576000,16,82,6.2
CHUM CREEK,225000,230000,290000,355000,290000,400500,402000,334000,350000,500000,435000,500000,-13,93,6.8
CHURCHILL,120000,125000,130000,137000,150000,172000,170000,176500,182500,175000,172500,193000,-2,44,3.7
