,region_id,english_only_2011,arabic_2011,chinese_2011,greek_2011,italian_2011,vietnamese_2011
351,south melbourne,6844,65,464,331,101,70
352,south morang,27734,603,345,770,1641,135
353,south yarra  east,10127,69,753,353,156,92
354,south yarra  west,4618,12,231,53,50,12
355,southbank,7622,190,1890,107,131,86
356,southern grampians,5938,0,6,6,5,6
357,springvale,4002,171,2921,677,429,4827
358,springvale south,3297,123,1378,310,132,2912
359,st albans  north,5204,483,565,558,387,3501
360,st albans  south,3503,304,1046,448,216,4304
361,st arnaud,3301,3,0,6,11,0
362,st kilda,16145,78,477,313,248,59
363,st kilda east,10811,44,352,305,188,31
364,stawell,7667,6,30,3,13,7
365,strathfieldsaye,6562,6,20,8,26,0
366,strathmore,7140,100,95,242,412,40
367,sunbury,11079,32,38,66,211,9
368,sunbury  south,21253,79,88,110,310,32
369,sunshine,3523,151,419,234,217,1249
370,sunshine north,2724,169,784,169,382,3344
371,sunshine west,4992,305,659,1221,538,3245
372,surrey hills (east)  mont albert,7622,13,797,144,81,35
373,surrey hills (west)  canterbury,12801,39,918,307,179,70
374,swan hill,9173,33,28,13,198,10
375,swan hill region,5720,0,40,3,134,8
376,sydenham,5843,281,274,226,393,200
377,tarneit,12256,417,592,125,247,215
378,taylors hill,7804,359,555,279,407,541
379,taylors lakes,10126,602,478,821,1079,403
380,templestowe,9444,417,2104,1253,812,58
381,templestowe lower,7071,240,1706,1282,787,82
382,thomastown,5325,1710,648,1571,2261,1599
383,thornbury,10343,436,416,1680,1241,244
384,toorak,9554,41,591,186,160,45
385,torquay,13533,12,25,31,75,6
386,towong,5406,0,6,0,14,3
387,trafalgar ,6239,10,7,12,106,0
388,traralgon,22402,44,133,165,286,26
389,truganina,4716,400,444,44,73,207
390,tullamarine,3905,300,108,304,481,19
391,upper yarra valley,200,0,3,0,0,3
392,upwey  tecoma,8765,4,35,24,31,10
393,vermont,7365,38,790,122,105,127
394,vermont south,7077,57,1567,597,324,94
395,viewbank  yallambie,13651,187,632,377,611,50
396,wallan,10135,51,28,57,218,6
397,wandin  seville,6648,0,14,28,181,0
398,wangaratta,15972,6,40,32,459,7
399,wangaratta region,8376,0,6,16,182,3
400,wantirna,9819,76,1444,273,160,152
401,wantirna south,11202,107,2264,380,248,166
402,warragul,15439,8,77,25,97,6
403,warrandyte  wonga park,8767,44,145,124,245,12
404,warrnambool  north,17743,41,66,24,26,0
405,warrnambool  south,11767,26,77,22,34,15
406,watsonia,7046,62,273,170,274,6
407,wattle glen  diamond creek,11975,27,34,91,225,16
408,wendouree  miners rest,12804,18,77,8,21,21
409,werribee,21216,322,302,177,567,207
410,werribee  south,7745,55,134,134,908,18
411,west footscray  tottenham,5234,94,396,206,327,1065
