locality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,growth_pa
EDITHVALE,350000,390000,465000,483500,485000,612500,590000,622500,615000,670000,765000,8.1
EILDON,140000,150000,149500,152000,176000,190000,180000,185000,210000,205000,208500,4.1
ELLIMINYT,199000,220000,240500,276500,256500,335000,260000,323000,332000,314000,318000,4.8
ELMORE,138500,112500,130000,122500,162000,173000,188000,160000,167000,176000,200000,3.7
ELSTERNWICK,675000,758500,970000,866000,985000,1240000,1200000,1108000,1357500,1315000,1574000,8.8
ELTHAM,390000,425500,463500,503000,522000,610000,630000,591500,631500,670000,750000,6.8
ELTHAM NORTH,402000,400000,477500,506000,499500,621000,627000,580500,621000,680000,743000,6.3
ELWOOD,752500,795000,1007500,1055000,1110000,1325000,1150000,1255000,1300000,1400000,1605000,7.9
EMERALD,308000,306500,321500,347000,372500,435000,415000,410500,440000,455000,502000,5
ENDEAVOUR HILLS,259000,267500,294500,325500,355000,400000,400000,390000,400000,433500,496500,6.7
EPPING,260000,260000,285000,305000,342000,380000,385000,365000,366500,386500,400000,4.4
EPSOM,246500,256000,260000,250000,260000,275000,325000,315000,322500,342500,340000,3.3
ESSENDON,510000,540000,712000,749000,780000,925000,875000,910000,860000,926500,1180500,8.8
ESSENDON NORTH,418000,410000,469000,590000,651000,815500,690000,686000,725000,840000,804000,6.8
ESSENDON WEST,427500,409000,520000,625000,680000,730000,742500,720000,720000,785000,920000,8
EUMEMMERRING,209000,238500,230000,290000,320000,376000,350500,327500,353000,365000,402000,6.8
EUREKA,207000,195500,197500,195000,241000,245000,257500,237000,243500,238500,247500,1.8
EUROA,160000,158000,170000,182000,170000,167000,185000,215000,208000,230000,235500,3.9
EYNESBURY,0,0,191000,248000,525000,295000,360000,400000,390500,390000,403500,NA
FAIRFIELD,460000,518500,680000,654000,677500,810000,783500,820000,900000,930000,1110000,9.2
FAIRHAVEN,510000,635000,635000,755000,725000,866000,715000,990000,785000,955000,782000,4.4
FAWKNER,261000,258000,300500,344000,381500,460000,439000,408000,409500,443000,510000,6.9
FERNTREE GULLY,272000,290000,318000,348500,379500,449000,430000,428500,451000,505000,591000,8.1
FERNY CREEK,365000,310000,400000,459000,475000,580000,525000,456000,497500,492500,621000,5.5
FINGAL,330000,246000,642000,485000,520000,515000,700000,600000,677500,730000,855000,10
FITZROY,513500,600000,712000,744000,780000,801000,920000,849500,890000,1105000,1295000,9.7
