region_id,english_only_2011,arabic_2011,chinese_2011,greek_2011,italian_2011,vietnamese_2011
Pascoe Vale South,5986,268,108,895,1051,68
Paynesville,5064,3,21,12,10,6
Pearcedale  Tooradin,6835,6,12,55,51,0
Phillip Island,8208,9,44,37,76,10
Plenty  Yarrambat,7220,84,113,176,435,3
Point Cook,18647,425,2793,412,439,503
Point Nepean,13183,13,30,220,348,6
Port Melbourne,10457,56,286,869,237,70
Port Melbourne Industrial,6,0,0,0,0,0
Portarlington,5563,0,13,118,80,7
Portland,9628,13,34,3,12,9
Prahran  Windsor,12237,62,545,1100,207,93
Preston,15640,964,1734,2302,2096,839
Queenscliff,3616,0,12,11,23,3
Red Cliffs,4697,3,5,8,163,10
Research  North Warrandyte,5885,6,31,55,76,3
Reservoir  East,12435,990,1208,1666,1967,749
Reservoir  West,10185,1447,980,1210,4032,338
Richmond ,17548,106,1436,1307,314,1723
Riddells Creek,3473,0,6,14,28,0
Ringwood,11791,84,938,119,162,108
Ringwood East,15756,51,618,105,120,80
Ringwood North,7793,24,250,76,174,26
Robinvale,2007,4,138,64,194,167
Rochester,3422,0,8,6,7,0
Rockbank  Mount Cottrell,1171,5,10,36,39,10
Romsey,7717,17,8,24,83,6
Rosebud  McCrae,17020,12,35,149,244,9
Rosedale,3401,0,0,10,18,3
Rowville  Central,10520,253,1095,299,347,140
Rowville  North,5912,101,480,114,119,104
Rowville  South,7176,272,501,238,261,125
Roxburgh Park  Somerton,6116,2654,250,274,549,276
Rushworth,3722,8,4,0,27,0
Rutherglen,3415,3,3,0,6,0
Sale,12746,7,68,20,54,27
Sandringham  Black Rock,12879,42,117,229,166,10
Seabrook,3127,143,142,95,98,90
Seaford ,13380,42,105,156,105,16
Seddon  Kingsville,5478,45,229,298,151,419
Seymour,5590,3,80,19,64,0
Seymour Region,4017,3,3,8,37,6
Shepparton  North,13898,163,104,60,330,13
Shepparton  South,16110,854,115,126,694,8
Shepparton Region  East,3589,0,6,11,47,0
Shepparton Region  West,8114,12,25,23,419,11
Skye  Sandhurst,8610,33,92,106,74,23
Smythes Creek,3406,0,0,7,0,0
Somerville,16099,8,28,59,94,7
South Melbourne,6844,65,464,331,101,70
South Morang,27734,603,345,770,1641,135
South Yarra  East,10127,69,753,353,156,92
South Yarra  West,4618,12,231,53,50,12
Southbank,7622,190,1890,107,131,86
Southern Grampians,5938,0,6,6,5,6
Springvale,4002,171,2921,677,429,4827
Springvale South,3297,123,1378,310,132,2912
St Albans  North,5204,483,565,558,387,3501
St Albans  South,3503,304,1046,448,216,4304
St Arnaud,3301,3,0,6,11,0
St Kilda,16145,78,477,313,248,59
St Kilda East,10811,44,352,305,188,31
Stawell,7667,6,30,3,13,7
Strathfieldsaye,6562,6,20,8,26,0
Strathmore,7140,100,95,242,412,40
Sunbury,11079,32,38,66,211,9
Sunbury  South,21253,79,88,110,310,32
Sunshine,3523,151,419,234,217,1249
Sunshine North,2724,169,784,169,382,3344
Sunshine West,4992,305,659,1221,538,3245
Surrey Hills (East)  Mont Albert,7622,13,797,144,81,35
Surrey Hills (West)  Canterbury,12801,39,918,307,179,70
Swan Hill,9173,33,28,13,198,10
Swan Hill Region,5720,0,40,3,134,8
Sydenham,5843,281,274,226,393,200
Tarneit,12256,417,592,125,247,215
Taylors Hill,7804,359,555,279,407,541
Taylors Lakes,10126,602,478,821,1079,403
Templestowe,9444,417,2104,1253,812,58
Templestowe Lower,7071,240,1706,1282,787,82
Thomastown,5325,1710,648,1571,2261,1599
Thornbury,10343,436,416,1680,1241,244
Toorak,9554,41,591,186,160,45
Torquay,13533,12,25,31,75,6
Towong,5406,0,6,0,14,3
Trafalgar ,6239,10,7,12,106,0
Traralgon,22402,44,133,165,286,26
Truganina,4716,400,444,44,73,207
Tullamarine,3905,300,108,304,481,19
Upper Yarra Valley,200,0,3,0,0,3
Upwey  Tecoma,8765,4,35,24,31,10
Vermont,7365,38,790,122,105,127
Vermont South,7077,57,1567,597,324,94
Viewbank  Yallambie,13651,187,632,377,611,50
Wallan,10135,51,28,57,218,6
Wandin  Seville,6648,0,14,28,181,0
Wangaratta,15972,6,40,32,459,7
Wangaratta Region,8376,0,6,16,182,3
Wantirna,9819,76,1444,273,160,152
Wantirna South,11202,107,2264,380,248,166
Warragul,15439,8,77,25,97,6
Warrandyte  Wonga Park,8767,44,145,124,245,12
Warrnambool  North,17743,41,66,24,26,0
Warrnambool  South,11767,26,77,22,34,15
Watsonia,7046,62,273,170,274,6
Wattle Glen  Diamond Creek,11975,27,34,91,225,16
Wendouree  Miners Rest,12804,18,77,8,21,21
Werribee,21216,322,302,177,567,207
Werribee  South,7745,55,134,134,908,18
West Footscray  Tottenham,5234,94,396,206,327,1065
West Melbourne,0,0,0,0,0,0
West Wimmera,2664,0,0,0,0,0
West Wodonga,13385,16,44,14,64,6
Wheelers Hill,10850,209,2401,1175,737,234
White Hills  Ascot,8059,22,14,6,24,6
Whittlesea,6413,9,9,80,197,0
Williamstown,12068,99,117,396,352,90
Wilsons Promontory,10,0,0,0,0,0
Winchelsea,5202,0,8,8,16,0
Wodonga,19110,39,51,19,78,14
Wonthaggi  Inverloch,18213,25,39,58,211,7
Woodend,5735,0,12,12,49,0
Wyndham Vale,13142,140,177,79,123,77
Yackandandah,4093,0,0,0,10,0
Yallourn North  Glengarry,4059,0,0,3,14,0
Yarra  North,6454,27,109,293,194,57
Yarra Valley,14280,0,33,30,52,8
Yarram,4722,6,9,12,20,11
Yarraville,9639,122,321,743,379,421
Yarrawonga,6358,0,23,4,22,0
Yarriambiack,6351,16,18,5,6,0
Yea,2998,0,15,18,14,0
