area_code, dths_suic_0_74_1_no_1_08_12_12
305304645,0.582401118657611
305304651,null
620155610,null
305304654,null
305304655,3.43633181356555
315105763,null
345057015,1.40880968752792
305304656,22.6010660172994
307153564,4.52240394309398
307153566,16.3500889109375
305405013,null
305405016,null
305405033,8.90148159851527
307153567,22.342359
307153568,7.27583178846717
710304508,9.3980953
305405037,11.3380046596854
305405043,8.26441254227171
305405047,9.4472856
305405058,0.0
305405067,4.29983601684195
305405068,7.74897958268564
309056713,8.8422867
309056718,8.8660571
305455035,6.67482228787906
309056721,15.0123527
309056723,9.6017718
309056728,8.2303027
305455053,8.94220807428474
309056755,7.5163576
309056761,9.292674
309056763,5.3982282
309056772,6.4743288
309106716,6.0486311
305455063,16.1888059083009
305455065,14.1941636295353
309106725,12.8426546
309106733,11.4716209
309106753,12.2103806
305506251,6.65862589951973
312056582,20.0006846
312056584,5.0
312104582,12.0944136
335050412,null
305506254,5.71661562863614
312104584,13.9049018
312106512,10.0167764
312106514,6.2853257
305506257,8.80907933814171
305506262,10.0
305506268,null
305506271,5.0
305506273,7.71458325297952
305506276,4.37771778169502
305506283,10.794926
312106516,10.1038552
307103508,20.3289699197695
315101828,6.9999994
705051034,1.7072412821854
307103511,4.57408322517102
307103514,8.65833763551884
315103622,27.9118898
315103624,8.8257879
315103626,null
315105761,null
307103515,2.55050941115524
307103517,4.89285409921214
315105762,null
307103521,6.62963345379453
315105764,null
307103523,11.4560660815694
315105765,null
315105766,0.0
315106632,12.9397084
315106634,4.5935959
315106636,5.075301
307103527,3.42380577482898
307103533,2.2957983647115
307103562,5.44949058884476
315106638,5.4645912
320016912,null
320016921,6.005097
320016926,5.9603486
307103563,5.25596282911719
345057014,4.07885028790315
307103573,11.5053708352885
307103576,15.6710300802305
307103585,34.0
307103587,22.9660528804786
307153502,14.2472835218999
320053612,null
307153525,9.9801174
320053614,null
320053616,null
320056662,null
320056665,null
320056666,5.0
307153531,7.11818079982077
307153534,null
320056935,null
320057312,5.2059737
307153535,6.41032813959482
320057313,6.9976541
320057315,null
320057316,4.7650541
307153537,7.79061276040518
307153543,null
320057318,6.0563684
325050300,null
307153547,null
307153552,1.55054424248737
307153556,9.82765465084495
307153572,7.72416821153283
307153574,7.44945575751263
325054867,null
307153578,13.1121317351854
307153581,4.13590704915505
325054868,null
325055600,5.0
325055800,null
307153582,11.1768229763816
325056150,0.0
330056362,null
330056365,null
330056368,47.0
307153592,7.82317702361844
320016937,17.0
307153593,6.3274337890625
307203538,null
309056738,18.336287
320016941,null
309056744,6.6751197
330103362,6.7685776
330103366,21.0188824
330150370,6.9995328
330152272,null
309056748,8.180942
315051822,25.5109782
315051824,15.2169934
315073222,33.4878317
315101825,11.9816265
315101827,6.290401
315102330,null
315103223,null
315103225,25.7643371
315103227,7.4129078
320016943,22.0010464
330152274,null
330152276,9.3885239
330152278,0.0
320016945,11.0
330153364,null
330153368,6.0
330156363,null
330156366,19.9999974
320016946,14.9989536
330156367,6.0
320016947,null
335050762,null
320056667,10.038888
320056668,null
320056914,0.0
320056916,null
320056923,0.0
320056928,9.268803
320056931,null
320056933,null
325051750,0.0
325054862,0.0
325054864,null
325054865,null
335050765,null
330157550,null
335054716,null
345057027,1.12687014278382
335050416,null
335050418,null
335050450,0.0
335050900,0.0
340103982,6.0
335052750,0.0
340103984,null
335054712,0.0
340103986,null
335054714,0.0
335057400,0.0
340054772,67.9058896
345057003,2.64021119535574
345057007,3.48910279985259
345057012,1.30846290309998
345057023,2.39361420318503
345057026,1.73483275403408
345057034,1.92985840346951
345057038,5.37470545173323
345057074,4.47454090719098
350105781,null
350105783,0.0
345057041,6.43544886251112
345057078,2.12721815131986
345107005,20.5436459188949
345057044,2.32100291339278
345057047,0.994694030052121
345057051,1.29353747074523
345153800,9.0
345057062,2.65075938231281
345157043,7.9369146
345157076,null
350052062,12.3174695
350052065,24.3473499
345057065,2.27946320142379
345057068,0.551778935287367
345107028,7.31693463428871
350102262,8.7739863
345107030,17.2064868468164
345151900,15.0343268
350102264,10.5783829
350102500,7.9427505
350102600,0.0
350103100,null
350103830,null
350104420,null
350104570,null
345152312,null
345152314,0.0
345155790,11.0
350052066,12.0
350052068,11.7771602
350052072,13.67975
350052074,38.3296386
350052076,6.9974137
350100250,null
350102067,10.0318875
350102078,null
350104830,0.0
350105670,null
350105784,null
350106974,0.0
805151269,null
350106963,0.0
350106965,0.0
350106976,0.0
350106984,0.0
350106986,0.0
405157981,17.0
350106978,0.0
350106982,null
355055250,5.264837
355055300,31.2335905
355056300,0.0
350106992,0.0
350106993,0.0
350106995,null
405055686,6.7427284
705051004,1.99350218986355
350106996,null
350106998,0.0
350107300,0.0
350107570,null
350107600,5.0
355051950,null
355052250,5.084603
355052450,null
545053920,15.676509
355052770,6.554816
355053200,null
355054800,null
405052030,13.9976926
425104620,19.3625225
405055681,10.4600623
705051008,1.57692311084078
405055683,27.2173557
405055684,null
405055688,15.2607606
405055894,21.0
405057141,22.6687659
405055891,24.8269929
405057144,20.5005859
405057146,20.7487432
405057148,8.9693947
710350422,7.0
405057701,14.542224
405057704,5.6330201
705051038,3.17679520666261
405057705,15.8451339
405057708,18.1784368
705051044,2.02314383681939
405101061,17.075099
710406059,null
405101064,11.0497779
405101065,9.7334619
405101068,21.7721864
405105895,27.0
425108341,null
405105896,14.9638947
405105897,9.9999995
425108344,null
405108411,18.0427233
405108414,22.3010342
405108899,null
430051750,0.0
430051960,null
805050089,0.910528485626157
405150070,16.0
405150701,10.435169
405150121,null
405150704,9.564831
405150911,10.6728076
430056300,8.777058
430057910,null
405150914,13.2942356
405156510,11.0
405155291,11.09872
435155120,null
705051048,3.07713104331633
405155294,14.90128
705051074,1.90246183561837
405157984,10.0
705051078,1.80579011925493
615054011,0.0
805051989,2.23984033665862
405158260,5.0
405202601,5.0618217
435155400,0.0
405202604,7.588534
435250250,5.9999984
405204061,32.4092544
435251330,null
405204064,16.0
405204345,null
405204065,7.0022112
405204341,8.610949
405205341,11.001902
405205342,null
405204344,7.9715522
405205343,17.0
405205344,14.0
405205347,11.9999998
520056520,9.7831982
410050311,null
410050314,null
410050315,null
410053650,8.8269682
410154551,10.4727453
520057140,null
420050521,null
520058610,null
520058680,0.0
520058890,0.0
420050524,null
425055090,null
425056860,0.0
425057630,null
425102250,null
520104620,0.0
520104760,null
520104900,null
430051190,0.0
430053220,0.0
430053710,0.0
430058640,0.0
430059179,null
430101010,null
430107490,null
430109249,0.0
435058540,14.9999991
435059389,0.0
435155540,0.0
435156451,4.9534256
435156454,null
525052590,null
525053570,null
705051084,0.392280355536189
435159459,0.0
505056930,null
525109370,null
435201830,0.0
435204830,0.0
435206090,19.0
435209529,0.0
435254000,null
435256970,null
435259589,null
505051310,10.5757131
505104200,33.0
525151120,0.0
505051750,5.6771512
505106090,20.7350825
505108050,79.6282157
505154171,32.9999994
505052170,7.0542532
505154174,39.996088
505157914,66.6291636
505157915,41.9999987
525154410,null
525155460,null
525155880,0.0
505055740,7.3962848
505056580,12.4299039
505203432,21.7939099
505204830,19.0
505205320,53.1890937
505057081,null
505057082,16.7042319
505057980,7.9796113
505207490,69.9999998
505250210,46.0
505058570,24.5737582
505100350,15.0
505100420,36.8769688
505157916,9.4476751
505158761,23.2866959
505158764,29.6976189
505250490,25.0
505251330,48.265012
505158767,23.003912
505201820,70.609114
505257700,5.9860949
505257840,24.9913618
505203150,null
505258510,22.9714627
510015110,49.8810743
510016230,13.3730497
510031190,22.398561
805100279,1.0389664731419
505203431,null
505253780,68.0
510031401,null
510103994,null
510108820,null
510150280,7.9999995
510032661,4.601439
510033991,7.9936469
510100630,null
510101404,null
510101890,6.0
510102664,null
510102870,6.0
515054340,null
515054480,0.0
520053010,null
520056450,0.0
520059100,0.0
520059170,0.0
520102100,null
525051680,null
525055600,null
705051094,1.23234655411687
525058540,null
525100560,0.0
525102450,null
525102520,null
525102940,0.0
525103710,null
525104690,0.0
